FIPS,STATE,COUNTY,X,Y
1001,Alabama,Autauga County,872679.179,1094432.99
1003,Alabama,Baldwin County,789777.5039,884557.0795
1005,Alabama,Barbour County,997210.9974,1033023.763
1007,Alabama,Bibb County,822862.4715,1141553.577
1009,Alabama,Blount County,863725.1736,1255735.164
1011,Alabama,Bullock County,964066.8275,1055199.419
1013,Alabama,Butler County,877731.5725,1007285.71
1015,Alabama,Calhoun County,933856.5711,1239468.533
1017,Alabama,Chambers County,984214.6861,1148648.711
1019,Alabama,Cherokee County,949215.6474,1286592.363
1021,Alabama,Chilton County,862209.9831,1128435.63
1023,Alabama,Choctaw County,726606.4744,1023615.755
1025,Alabama,Clarke County,770408.8693,988910.4968
1027,Alabama,Clay County,936619.6404,1183406.326
1029,Alabama,Cleburne County,963188.5886,1231820.526
1031,Alabama,Coffee County,946787.0873,975094.3328
1033,Alabama,Colbert County,743789.2745,1325454.106
1035,Alabama,Conecuh County,851719.0504,968600.8416
1037,Alabama,Coosa County,904809.5675,1142654.543
1039,Alabama,Covington County,904857.0021,953605.3385
1041,Alabama,Crenshaw County,912418.1539,1008415.674
1043,Alabama,Cullman County,834706.1576,1269855.848
1045,Alabama,Dale County,981951.9843,982254.8233
1047,Alabama,Dallas County,831746.8892,1067060.135
1049,Alabama,Dekalb County,927594.6994,1316221.413
1051,Alabama,Elmore County,917880.3462,1105980.039
1053,Alabama,Escambia County,839009.4497,933580.2072
1055,Alabama,Etowah County,911548.6958,1267867.342
1057,Alabama,Fayette County,759213.3557,1216835.014
1059,Alabama,Franklin County,742765.9875,1296358.466
1061,Alabama,Geneva County,964463.038,942645.4236
1063,Alabama,Greene County,747835.8866,1118587.797
1065,Alabama,Hale County,778699.4525,1111106.207
1067,Alabama,Henry County,1015751.445,995307.1768
1069,Alabama,Houston County,1014495.139,954644.0686
1071,Alabama,Jackson County,906128.3197,1349861.498
1073,Alabama,Jefferson County,838191.1631,1205354.6
1075,Alabama,Lamar County,725857.7,1220472.403
1077,Alabama,Lauderdale County,755443.8463,1349000.612
1079,Alabama,Lawrence County,790299.6906,1309506.198
1081,Alabama,Lee County,991482.718,1114381.651
1083,Alabama,Limestone County,817073.2449,1344348.673
1085,Alabama,Lowndes County,876181.2191,1052196.1
